Date,Name,Year,Letterboxd URI,Rating
2020-04-24,The Incredible Hulk,2008,https://boxd.it/28dU,1
2020-04-26,Castle in the Sky,1986,https://boxd.it/1W4G,5
2020-05-27,Princess Mononoke,1997,https://boxd.it/2b4w,5
2020-05-27,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,5
2020-05-27,Spirited Away,2001,https://boxd.it/2b4m,5
2020-06-13,Whisper of the Heart,1995,https://boxd.it/17uy,5
2020-06-23,Kiki's Delivery Service,1989,https://boxd.it/1JAY,5
2020-08-04,Raw,2016,https://boxd.it/dLd2,5
2020-08-04,The Adventures of Tintin,2011,https://boxd.it/1Irc,2
2020-08-05,The Shining,1980,https://boxd.it/29Nu,4
2020-09-30,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,1
2020-09-30,Wonder Woman,2017,https://boxd.it/9roG,1
2020-09-30,Ant-Man,2015,https://boxd.it/3vmW,1
2020-09-30,Tales from Earthsea,2006,https://boxd.it/17ae,2
2020-09-30,Troy,2004,https://boxd.it/29TW,2
2020-09-30,Mean Girls,2004,https://boxd.it/1VNg,5
2020-09-30,Frida,2002,https://boxd.it/28Vi,4
2020-09-30,Saving Private Ryan,1998,https://boxd.it/29ro,1
2020-11-29,Scarface,1983,https://boxd.it/2b7g,5
2021-01-10,The Breakfast Club,1985,https://boxd.it/27q4,1
2021-01-20,No,2012,https://boxd.it/3Ie2,4
2021-01-25,All That Glitters,2010,https://boxd.it/Sns,5
2021-04-16,Shrek the Third,2007,https://boxd.it/29yY,3
2021-06-03,Dreams,1990,https://boxd.it/1ROu,5
2021-06-07,On-Gaku: Our Sound,2019,https://boxd.it/ndze,5
2021-07-17,Possession,1981,https://boxd.it/1BPm,5
2021-07-24,WALL·E,2008,https://boxd.it/1VEo,4
2021-07-24,Howl's Moving Castle,2004,https://boxd.it/23De,4
2021-07-24,Inception,2010,https://boxd.it/1skk,1
2021-07-24,Doctor Strange,2016,https://boxd.it/8MH8,2
2021-07-24,Captain America: Civil War,2016,https://boxd.it/89Ja,1
2021-07-24,Captain America: The First Avenger,2011,https://boxd.it/28b0,2
2021-07-24,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,1
2021-07-24,Godzilla vs. Kong,2021,https://boxd.it/e0qK,2
2021-08-16,Mad Max: Fury Road,2015,https://boxd.it/2DjO,3
2021-08-16,Okja,2017,https://boxd.it/dvXe,3
2021-08-16,Barbie as The Princess & the Pauper,2004,https://boxd.it/1MGU,5
2021-08-16,Barbie of Swan Lake,2003,https://boxd.it/1MZM,4
2021-08-16,Barbie Fairytopia: Mermaidia,2006,https://boxd.it/1Que,2
2021-08-16,Barbie and the Three Musketeers,2009,https://boxd.it/1z4y,2
2021-08-16,Barbie: Fairytopia,2005,https://boxd.it/1Quo,4
2021-08-16,Inglourious Basterds,2009,https://boxd.it/1JzG,1
2021-08-19,The Tatami Galaxy,2010,https://boxd.it/oL50,5
2021-08-23,The Red Turtle,2016,https://boxd.it/bdkE,4
2021-11-12,The Greatest Showman,2017,https://boxd.it/acjI,1
2021-12-11,Gayniggers from Outer Space,1992,https://boxd.it/1fBW,4
2021-12-11,Pokémon: The First Movie - Mewtwo Strikes Back,1998,https://boxd.it/1WLA,3
2021-12-11,Fantastic Planet,1973,https://boxd.it/1KnQ,5
2021-12-11,Azur & Asmar: The Princes' Quest,2006,https://boxd.it/1FQy,3
2021-12-11,Princes and Princesses,2000,https://boxd.it/3eE,4
2021-12-11,Kirikou and the Men and Women,2012,https://boxd.it/4tJw,1
2021-12-12,Spirit: Stallion of the Cimarron,2002,https://boxd.it/1Zmo,2
